1,yahoo.co.jp
2,microsoft.com
3,nifty.ne.jp
4,biglobe.ne.jp
5,msn.com
6,geocities.co.jp
7,dti.ne.jp
8,infoweb.ne.jp
9,so-net.ne.jp
10,hi-ho.ne.jp
11,nifty.com
12,mbn.or.jp
13,bekkoame.ne.jp
14,rim.or.jp
15,asahi-net.or.jp
16,goo.ne.jp
17,justnet.ne.jp
18,3web.ne.jp
19,interq.or.jp
20,vector.co.jp
21,odn.ne.jp
22,infoseek.co.jp
23,big.or.jp
24,cplaza.ne.jp
25,iij4u.or.jp
26,lycos.co.jp
27,impress.co.jp
28,nikkeibp.co.jp
29,excite.co.jp
30,din.or.jp
31,isize.com
32,tcup.com
33,plala.or.jp
34,netscape.com
35,highway.ne.jp
36,rakuten.co.jp
37,ocn.ne.jp
38,iijnet.or.jp
39,sony.co.jp
40,sphere.ne.jp
41,cool.ne.jp
42,geocities.com
43,real.com
44,asahi.com
45,dion.ne.jp
46,neweb.ne.jp
47,nikkei.co.jp
48,airnet.ne.jp
49,nikkansports.com
50,sannet.ne.jp
